,TIME,CAP,TEX,CAN,LIS,SAL,STO,TAL,VES,REY,LON,SIC,KK,LAU,SPL,PET
3285,11:54:45,26.6451,15.5072,-200.095,2.162,-0.501546,-34.3584,10.51,-133.14543,-59.5032,-13.735,6.23326,19.4386,6.10471,26.0274,24.0293
3286,11:54:46,25.5374,14.1657,-199.267,3.62,-1.00442,-31.5941,10.2251,-119.48633,-58.2868,-16.7119,6.53886,19.2905,6.71005,25.8852,23.1281
3287,11:54:47,25.4717,12.6879,-190.09,5.697,-1.49253,-29.9665,8.41248,-125.504654,-55.3788,-20.613,7.51919,18.5561,8.51381,26.0496,23.0817
3288,11:54:48,25.1312,12.2439,-172.806,5.565,0.004405,-30.1252,9.18686,-147.376551,-54.322,-25.0731,7.28017,19.9031,9.32517,25.7958,25.2043
3289,11:54:49,28.2155,12.7298,-155.481,2.894,-0.265529,-30.2428,9.91956,-162.651538,-51.0419,-28.8783,7.29636,21.4294,12.2046,25.4075,27.61
3290,11:54:50,32.7155,12.9155,-140.555,0.488,-0.195403,-29.7987,7.95397,-173.272431,-48.1034,-31.3869,7.35534,22.0358,13.4352,24.1942,29.5727
3291,11:54:51,36.7585,13.257,-130.482,0.388,-0.668033,-28.7833,10.8154,-167.663499,-45.0709,-33.8525,6.71425,21.1242,13.8144,23.4441,31.6513
3292,11:54:52,40.1821,14.4715,-120.938,2.356,-1.44312,-27.0278,10.5791,-155.594681,-42.2877,-34.5065,7.33563,20.8069,15.8655,22.0845,33.5488
3293,11:54:53,44.7529,15.9014,-113.542,4.793,-2.57697,-25.9844,11.0814,-137.283536,-38.5054,-33.2704,8.35337,22.4283,16.6381,21.9441,34.0311
3294,11:54:54,49.0921,16.0284,-111.488,2.919,-4.66271,-25.2773,9.43394,-118.344123,-35.0383,-31.8718,9.63188,22.2427,17.7906,22.0287,33.4074
3295,11:54:55,52.2138,14.6686,-114.097,-1.203,-3.78082,-25.8916,8.46884,-114.358425,-31.067,-31.5559,10.6359,21.0023,19.0416,22.785,33.2052
3296,11:54:56,55.5153,12.911,-118.605,-1.895,-5.46794,-26.7673,7.66519,-105.354123,-28.6675,-32.8318,9.32999,20.2351,20.1205,22.7918,33.4795
3297,11:54:57,59.0621,10.7796,-122.079,-4.562,-7.11826,-26.5154,9.4215,-104.345849,-25.0036,-33.7485,7.00463,19.3475,20.0323,22.8043,34.8119
3298,11:54:58,61.4388,9.86517,-120.333,-7.621,-7.87973,-26.3911,7.74885,-112.198598,-22.8748,-35.5684,4.92826,19.9648,19.3862,22.8782,35.9106
3299,11:54:59,64.2917,9.24159,-118.454,-7.548,-8.33185,-26.2664,8.46717,-122.420131,-21.0872,-37.4329,3.43015,19.3503,19.4492,22.8674,35.5916
3300,11:55:00,63.9484,8.85287,-114.902,-5.316,-8.86366,-26.2731,8.63455,-135.897278,-18.7357,-40.4343,2.76439,16.1607,20.5088,21.9733,33.4905
3301,11:55:01,65.1537,9.27698,-106.419,-6.007,-10.6523,-28.8151,7.48892,-139.454311,-15.1575,-43.2633,3.10373,13.9382,21.0888,21.0407,32.3163
3302,11:55:02,68.3354,9.09582,-97.088,-4.19,-12.7407,-31.7701,7.73532,-142.051423,-11.372,-47.7506,3.46298,13.4414,20.5978,21.0913,33.478
3303,11:55:03,72.0019,8.81848,-87.838,-4.317,-14.3067,-33.6894,7.95529,-156.018342,-7.94384,-51.0952,3.82523,14.546,19.7867,21.8815,34.7441
3304,11:55:04,75.6474,8.70258,-79.554,-5.936,-13.6359,-35.2681,8.39183,-169.566873,-3.63383,-56.0084,3.19798,15.7662,18.3774,23.0673,35.3669
3305,11:55:05,80.0806,9.36617,-72.716,-6.232,-12.9256,-38.936,8.08354,-175.332466,-0.424041,-57.9169,3.65652,15.0787,18.2004,22.7998,33.3391
3306,11:55:06,84.7078,10.3116,-67.537,-4.372,-12.0244,-43.3152,9.81778,-170.086357,3.93314,-58.7414,3.01892,13.4613,20.7041,22.0764,30.4038
3307,11:55:07,89.9426,10.5883,-66.894,-2.268,-11.0014,-47.4541,9.30461,-154.064567,7.80681,-59.2213,3.0987,13.3341,23.1893,20.7029,28.728
3308,11:55:08,96.8209,10.1121,-70.789,-2.577,-9.74364,-51.7634,7.5135,-151.801865,11.6376,-59.2501,2.89741,12.6819,23.6033,19.7956,29.5492
3309,11:55:09,102.418,10.0455,-73.636,-2.885,-8.12933,-57.5467,6.82929,-149.831777,15.7246,-57.5564,2.92242,13.1501,22.6234,20.2702,31.6578
3310,11:55:10,105.844,11.2867,-74.968,-0.968,-6.28833,-63.595,5.16471,-146.754157,17.2516,-54.779,2.2299,13.6637,21.403,21.1688,30.7699
3311,11:55:11,105.98,13.1807,-75.264,-1.446,-3.89101,-70.8858,6.53059,-140.065252,20.5956,-51.9984,1.61715,14.6191,19.9243,22.4517,28.7545
3312,11:55:12,107.158,14.5009,-76.002,-1.864,-2.21121,-78.8769,4.9673,-134.339143,20.6379,-49.9941,1.58463,15.107,19.4388,22.1456,25.7955
3313,11:55:13,108.121,16.1979,-81.001,0.348,-2.07988,-86.3484,3.39187,-130.900835,21.7156,-49.02,0.143506,15.9309,18.4864,21.2057,23.431
